Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region,Full_Name
EMP1000,Bob,Davis,25,DevOps-California,Active,2021-04-02,59767.65,bob.davis@example.com,1651623197,Average,True,DevOps,California,Bob Davis
EMP1001,Bob,Brown,30,Finance-Texas,Active,2020-07-10,65304.66,bob.brown@example.com,1898471390,Excellent,True,Finance,Texas,Bob Brown
EMP1002,Alice,Jones,30,Admin-Nevada,Pending,2023-12-07,88145.9,alice.jones@example.com,5596363211,Good,True,Admin,Nevada,Alice Jones
EMP1003,Eva,Davis,25,Admin-Nevada,Inactive,2021-11-27,69450.99,eva.davis@example.com,3476490784,Good,True,Admin,Nevada,Eva Davis
EMP1004,Frank,Williams,25,Cloud Tech-Florida,Active,2022-01-05,109324.61,frank.williams@example.com,1586734256,Poor,False,Cloud Tech,Florida,Frank Williams
EMP1005,Alice,Garcia,40,Sales-Texas,Inactive,2020-06-10,88642.84,alice.garcia@example.com,5409003485,Good,False,Sales,Texas,Alice Garcia
EMP1006,Frank,Jones,30,Admin-Nevada,Active,2020-04-03,96288.43,frank.jones@example.com,4518376063,Good,False,Admin,Nevada,Frank Jones
EMP1007,Bob,Jones,30,Cloud Tech-Florida,Inactive,2022-07-17,94497.91,bob.jones@example.com,4134327559,Average,True,Cloud Tech,Florida,Bob Jones
EMP1008,Frank,Davis,35,Admin-Nevada,Inactive,2023-12-08,115565.82,frank.davis@example.com,4177656123,Excellent,True,Admin,Nevada,Frank Davis
EMP1009,Charlie,Johnson,30,DevOps-New York,Active,2022-08-04,76561.88,charlie.johnson@example.com,8156985699,Excellent,True,DevOps,New York,Charlie Johnson
EMP1010,David,Williams,35,Cloud Tech-New York,Active,2024-07-06,72081.71,david.williams@example.com,2720634590,Average,False,Cloud Tech,New York,David Williams
EMP1011,David,Davis,30,DevOps-California,Active,2023-09-04,84946.19,david.davis@example.com,1238296576,Poor,True,DevOps,California,David Davis
EMP1012,Heidi,Williams,30,HR-New York,Active,2024-03-05,89295.77,heidi.williams@example.com,2429543164,Excellent,False,HR,New York,Heidi Williams
EMP1013,Grace,Williams,30,Finance-California,Active,2020-10-10,85666.84,grace.williams@example.com,2669300892,Good,False,Finance,California,Grace Williams
EMP1014,Alice,Garcia,25,Admin-Nevada,Active,2024-06-10,97633.68,alice.garcia@example.com,1734206968,Excellent,True,Admin,Nevada,Alice Garcia
EMP1015,Grace,Jones,40,Sales-Florida,Pending,2021-05-29,117975.49,grace.jones@example.com,4215291085,Good,True,Sales,Florida,Grace Jones
EMP1016,Alice,Brown,25,DevOps-Illinois,Inactive,2024-04-23,94867.33,alice.brown@example.com,7713334475,Poor,False,DevOps,Illinois,Alice Brown
EMP1017,Grace,Garcia,30,Finance-Texas,Pending,2024-11-28,100377.65,grace.garcia@example.com,2639343625,Average,True,Finance,Texas,Grace Garcia
EMP1018,Charlie,Garcia,30,Cloud Tech-Nevada,Inactive,2024-09-19,94726.46,charlie.garcia@example.com,2044397358,Excellent,False,Cloud Tech,Nevada,Charlie Garcia
EMP1019,Charlie,Williams,35,Admin-Illinois,Pending,2020-01-02,91926.12,charlie.williams@example.com,7107256365,Average,True,Admin,Illinois,Charlie Williams
EMP1020,Bob,Miller,35,HR-New York,Active,2021-05-08,111460.67,bob.miller@example.com,9411800536,Excellent,True,HR,New York,Bob Miller
EMP1021,Bob,Jones,40,Cloud Tech-Illinois,Active,2020-09-19,96182.56,bob.jones@example.com,5990048963,Good,False,Cloud Tech,Illinois,Bob Jones
EMP1022,Charlie,Johnson,35,Sales-Illinois,Inactive,2021-03-09,115023.94,charlie.johnson@example.com,6528092427,Average,True,Sales,Illinois,Charlie Johnson
EMP1023,David,Garcia,35,Finance-Nevada,Pending,2022-02-03,80667.01,david.garcia@example.com,7572158623,Excellent,False,Finance,Nevada,David Garcia
